                                                                                                                                                                           
{'loss': 3.2777, 'grad_norm': 79.98876190185547, 'learning_rate': 0.0, 'epoch': 0.0}
{'loss': 3.357, 'grad_norm': 44.469696044921875, 'learning_rate': 3.294892915980231e-08, 'epoch': 0.0}
{'loss': 3.6374, 'grad_norm': 60.08076095581055, 'learning_rate': 6.589785831960462e-08, 'epoch': 0.0}
{'loss': 3.3075, 'grad_norm': 42.47269821166992, 'learning_rate': 9.884678747940692e-08, 'epoch': 0.0}
{'loss': 3.4546, 'grad_norm': 34.2264404296875, 'learning_rate': 1.3179571663920923e-07, 'epoch': 0.0}
{'loss': 3.5584, 'grad_norm': 50.36606979370117, 'learning_rate': 1.6474464579901155e-07, 'epoch': 0.0}
{'loss': 3.3938, 'grad_norm': 25.234148025512695, 'learning_rate': 1.9769357495881383e-07, 'epoch': 0.0}
{'loss': 2.9252, 'grad_norm': 36.45067596435547, 'learning_rate': 2.3064250411861617e-07, 'epoch': 0.0}
{'loss': 3.2744, 'grad_norm': 27.340383529663086, 'learning_rate': 2.6359143327841846e-07, 'epoch': 0.0}
{'loss': 3.466, 'grad_norm': 20.910137176513672, 'learning_rate': 2.965403624382208e-07, 'epoch': 0.0}
{'loss': 3.6201, 'grad_norm': 31.114694595336914, 'learning_rate': 3.294892915980231e-07, 'epoch': 0.0}
{'loss': 3.5621, 'grad_norm': 68.1155014038086, 'learning_rate': 3.6243822075782535e-07, 'epoch': 0.0}
{'loss': 3.2131, 'grad_norm': 52.380985260009766, 'learning_rate': 3.9538714991762767e-07, 'epoch': 0.0}
{'loss': 3.4733, 'grad_norm': 58.3724365234375, 'learning_rate': 4.2833607907743003e-07, 'epoch': 0.0}
{'loss': 3.5234, 'grad_norm': 32.3702507019043, 'learning_rate': 4.6128500823723235e-07, 'epoch': 0.0}
{'loss': 3.5321, 'grad_norm': 29.814105987548828, 'learning_rate': 4.942339373970347e-07, 'epoch': 0.0}
{'loss': 3.3667, 'grad_norm': 18.190994262695312, 'learning_rate': 5.271828665568369e-07, 'epoch': 0.0}
{'loss': 3.53, 'grad_norm': 46.53096008300781, 'learning_rate': 5.601317957166393e-07, 'epoch': 0.0}
{'loss': 3.6655, 'grad_norm': 24.05605125427246, 'learning_rate': 5.930807248764416e-07, 'epoch': 0.0}
{'loss': 2.9479, 'grad_norm': 31.04648208618164, 'learning_rate': 6.260296540362438e-07, 'epoch': 0.0}
{'loss': 3.2515, 'grad_norm': 18.535900115966797, 'learning_rate': 6.589785831960462e-07, 'epoch': 0.0}
{'loss': 3.2228, 'grad_norm': 32.02766418457031, 'learning_rate': 6.919275123558484e-07, 'epoch': 0.0}
{'loss': 3.5117, 'grad_norm': 22.719125747680664, 'learning_rate': 7.248764415156507e-07, 'epoch': 0.0}
{'loss': 3.5859, 'grad_norm': 17.327980041503906, 'learning_rate': 7.578253706754531e-07, 'epoch': 0.0}
{'loss': 3.4495, 'grad_norm': 18.850589752197266, 'learning_rate': 7.907742998352553e-07, 'epoch': 0.0}
{'loss': 3.0776, 'grad_norm': 17.72452163696289, 'learning_rate': 8.237232289950577e-07, 'epoch': 0.0}
{'loss': 2.9388, 'grad_norm': 22.656274795532227, 'learning_rate': 8.566721581548601e-07, 'epoch': 0.0}
{'loss': 3.9354, 'grad_norm': 29.197193145751953, 'learning_rate': 8.896210873146624e-07, 'epoch': 0.0}
{'loss': 3.0106, 'grad_norm': 15.226987838745117, 'learning_rate': 9.225700164744647e-07, 'epoch': 0.0}
{'loss': 2.9227, 'grad_norm': 14.584331512451172, 'learning_rate': 9.55518945634267e-07, 'epoch': 0.0}
{'loss': 2.9642, 'grad_norm': 10.247419357299805, 'learning_rate': 9.884678747940693e-07, 'epoch': 0.0}
{'loss': 3.0996, 'grad_norm': 11.217976570129395, 'learning_rate': 1.0214168039538717e-06, 'epoch': 0.0}
{'loss': 3.7184, 'grad_norm': 19.63080406188965, 'learning_rate': 1.0543657331136739e-06, 'epoch': 0.0}
{'loss': 2.6861, 'grad_norm': 20.860841751098633, 'learning_rate': 1.0873146622734762e-06, 'epoch': 0.0}
{'loss': 3.3356, 'grad_norm': 54.11692810058594, 'learning_rate': 1.1202635914332786e-06, 'epoch': 0.0}
{'loss': 2.9304, 'grad_norm': 26.586942672729492, 'learning_rate': 1.1532125205930807e-06, 'epoch': 0.0}
{'loss': 3.0151, 'grad_norm': 11.1455078125, 'learning_rate': 1.1861614497528831e-06, 'epoch': 0.0}
{'loss': 3.1968, 'grad_norm': 10.595637321472168, 'learning_rate': 1.2191103789126855e-06, 'epoch': 0.0}
{'loss': 2.9451, 'grad_norm': 24.240663528442383, 'learning_rate': 1.2520593080724876e-06, 'epoch': 0.0}
{'loss': 3.074, 'grad_norm': 28.002399444580078, 'learning_rate': 1.28500823723229e-06, 'epoch': 0.0}
{'loss': 2.7869, 'grad_norm': 11.935539245605469, 'learning_rate': 1.3179571663920924e-06, 'epoch': 0.0}
{'loss': 3.1483, 'grad_norm': 13.159561157226562, 'learning_rate': 1.3509060955518945e-06, 'epoch': 0.0}
{'loss': 2.5703, 'grad_norm': 13.354104042053223, 'learning_rate': 1.3838550247116969e-06, 'epoch': 0.0}
{'loss': 2.74, 'grad_norm': 12.015785217285156, 'learning_rate': 1.4168039538714993e-06, 'epoch': 0.0}
{'loss': 3.0949, 'grad_norm': 27.912511825561523, 'learning_rate': 1.4497528830313014e-06, 'epoch': 0.0}
{'loss': 3.1765, 'grad_norm': 10.040814399719238, 'learning_rate': 1.4827018121911038e-06, 'epoch': 0.0}
{'loss': 2.6888, 'grad_norm': 40.10337448120117, 'learning_rate': 1.5156507413509061e-06, 'epoch': 0.0}
{'loss': 2.8899, 'grad_norm': 10.383560180664062, 'learning_rate': 1.5485996705107085e-06, 'epoch': 0.0}
{'loss': 2.6831, 'grad_norm': 17.311534881591797, 'learning_rate': 1.5815485996705107e-06, 'epoch': 0.0}
{'loss': 3.0607, 'grad_norm': 9.476178169250488, 'learning_rate': 1.614497528830313e-06, 'epoch': 0.0}
{'loss': 2.7155, 'grad_norm': 14.576685905456543, 'learning_rate': 1.6474464579901154e-06, 'epoch': 0.0}
{'loss': 3.4792, 'grad_norm': 17.5601863861084, 'learning_rate': 1.680395387149918e-06, 'epoch': 0.0}
{'loss': 2.6374, 'grad_norm': 12.166437149047852, 'learning_rate': 1.7133443163097201e-06, 'epoch': 0.0}
{'loss': 3.1523, 'grad_norm': 32.990318298339844, 'learning_rate': 1.7462932454695225e-06, 'epoch': 0.0}
{'loss': 2.8218, 'grad_norm': 11.859308242797852, 'learning_rate': 1.7792421746293249e-06, 'epoch': 0.0}
{'loss': 2.6469, 'grad_norm': 11.591070175170898, 'learning_rate': 1.812191103789127e-06, 'epoch': 0.0}
{'loss': 2.8616, 'grad_norm': 11.580885887145996, 'learning_rate': 1.8451400329489294e-06, 'epoch': 0.0}
{'loss': 2.6487, 'grad_norm': 13.21318244934082, 'learning_rate': 1.8780889621087318e-06, 'epoch': 0.0}
{'loss': 2.9042, 'grad_norm': 11.758627891540527, 'learning_rate': 1.911037891268534e-06, 'epoch': 0.0}
{'loss': 3.0405, 'grad_norm': 13.62830924987793, 'learning_rate': 1.9439868204283365e-06, 'epoch': 0.0}
{'loss': 3.3986, 'grad_norm': 12.723539352416992, 'learning_rate': 1.9769357495881387e-06, 'epoch': 0.0}
{'loss': 2.9868, 'grad_norm': 8.662447929382324, 'learning_rate': 2.009884678747941e-06, 'epoch': 0.0}
{'loss': 2.6951, 'grad_norm': 12.092284202575684, 'learning_rate': 2.0428336079077434e-06, 'epoch': 0.0}
{'loss': 2.7618, 'grad_norm': 26.405624389648438, 'learning_rate': 2.0757825370675455e-06, 'epoch': 0.0}
{'loss': 3.1978, 'grad_norm': 10.755606651306152, 'learning_rate': 2.1087314662273477e-06, 'epoch': 0.0}
{'loss': 2.9781, 'grad_norm': 10.22219467163086, 'learning_rate': 2.1416803953871503e-06, 'epoch': 0.0}
{'loss': 2.8381, 'grad_norm': 7.709181785583496, 'learning_rate': 2.1746293245469524e-06, 'epoch': 0.0}
{'loss': 3.198, 'grad_norm': 9.22948169708252, 'learning_rate': 2.2075782537067546e-06, 'epoch': 0.0}
{'loss': 2.8194, 'grad_norm': 20.847858428955078, 'learning_rate': 2.240527182866557e-06, 'epoch': 0.0}
{'loss': 2.6612, 'grad_norm': 15.984464645385742, 'learning_rate': 2.2734761120263593e-06, 'epoch': 0.0}
{'loss': 3.1881, 'grad_norm': 11.043196678161621, 'learning_rate': 2.3064250411861615e-06, 'epoch': 0.0}
{'loss': 3.0074, 'grad_norm': 20.312637329101562, 'learning_rate': 2.339373970345964e-06, 'epoch': 0.0}
{'loss': 3.5256, 'grad_norm': 11.875391960144043, 'learning_rate': 2.3723228995057662e-06, 'epoch': 0.0}
{'loss': 2.757, 'grad_norm': 10.269092559814453, 'learning_rate': 2.4052718286655684e-06, 'epoch': 0.0}
{'loss': 2.7886, 'grad_norm': 11.372747421264648, 'learning_rate': 2.438220757825371e-06, 'epoch': 0.0}
{'loss': 2.9663, 'grad_norm': 23.054655075073242, 'learning_rate': 2.471169686985173e-06, 'epoch': 0.0}
{'loss': 2.9384, 'grad_norm': 12.361176490783691, 'learning_rate': 2.5041186161449753e-06, 'epoch': 0.0}
{'loss': 3.1541, 'grad_norm': 10.845661163330078, 'learning_rate': 2.537067545304778e-06, 'epoch': 0.0}
{'loss': 2.7975, 'grad_norm': 15.01325511932373, 'learning_rate': 2.57001647446458e-06, 'epoch': 0.0}
{'loss': 2.8175, 'grad_norm': 18.7049503326416, 'learning_rate': 2.602965403624382e-06, 'epoch': 0.0}
{'loss': 2.7627, 'grad_norm': 33.5702018737793, 'learning_rate': 2.6359143327841847e-06, 'epoch': 0.0}
{'loss': 2.9312, 'grad_norm': 9.222881317138672, 'learning_rate': 2.668863261943987e-06, 'epoch': 0.0}
{'loss': 2.8185, 'grad_norm': 10.208399772644043, 'learning_rate': 2.701812191103789e-06, 'epoch': 0.0}
{'loss': 3.4198, 'grad_norm': 11.330231666564941, 'learning_rate': 2.7347611202635916e-06, 'epoch': 0.0}
{'loss': 2.5461, 'grad_norm': 10.237338066101074, 'learning_rate': 2.7677100494233938e-06, 'epoch': 0.0}
{'loss': 3.0682, 'grad_norm': 12.636239051818848, 'learning_rate': 2.800658978583196e-06, 'epoch': 0.0}
{'loss': 3.2949, 'grad_norm': 15.37129020690918, 'learning_rate': 2.8336079077429985e-06, 'epoch': 0.0}
