                                                                                                                                                                           
{'loss': 3.8547, 'grad_norm': 31.01447105407715, 'learning_rate': 0.0, 'epoch': 0.0}
{'loss': 3.1944, 'grad_norm': 24.930824279785156, 'learning_rate': 1.6488046166529268e-08, 'epoch': 0.0}
{'loss': 3.8096, 'grad_norm': 59.331485748291016, 'learning_rate': 3.2976092333058536e-08, 'epoch': 0.0}
{'loss': 3.4009, 'grad_norm': 21.696439743041992, 'learning_rate': 4.9464138499587804e-08, 'epoch': 0.0}
{'loss': 3.7834, 'grad_norm': 79.6260757446289, 'learning_rate': 6.595218466611707e-08, 'epoch': 0.0}
{'loss': 3.7191, 'grad_norm': 66.43365478515625, 'learning_rate': 8.244023083264633e-08, 'epoch': 0.0}
{'loss': 3.2958, 'grad_norm': 44.22943115234375, 'learning_rate': 9.892827699917561e-08, 'epoch': 0.0}
{'loss': 3.7219, 'grad_norm': 91.74861907958984, 'learning_rate': 1.1541632316570487e-07, 'epoch': 0.0}
{'loss': 3.4692, 'grad_norm': 89.55609893798828, 'learning_rate': 1.3190436933223414e-07, 'epoch': 0.0}
{'loss': 3.8623, 'grad_norm': 42.8526611328125, 'learning_rate': 1.483924154987634e-07, 'epoch': 0.0}
{'loss': 4.2909, 'grad_norm': 30.180871963500977, 'learning_rate': 1.6488046166529267e-07, 'epoch': 0.0}
{'loss': 3.26, 'grad_norm': 93.10427856445312, 'learning_rate': 1.8136850783182193e-07, 'epoch': 0.0}
{'loss': 3.6782, 'grad_norm': 81.0745849609375, 'learning_rate': 1.9785655399835122e-07, 'epoch': 0.0}
{'loss': 3.612, 'grad_norm': 33.60468292236328, 'learning_rate': 2.1434460016488048e-07, 'epoch': 0.0}
{'loss': 3.1587, 'grad_norm': 33.209625244140625, 'learning_rate': 2.3083264633140974e-07, 'epoch': 0.0}
{'loss': 3.1284, 'grad_norm': 37.911495208740234, 'learning_rate': 2.47320692497939e-07, 'epoch': 0.0}
{'loss': 3.5657, 'grad_norm': 70.2532958984375, 'learning_rate': 2.638087386644683e-07, 'epoch': 0.0}
{'loss': 3.3223, 'grad_norm': 20.624116897583008, 'learning_rate': 2.802967848309976e-07, 'epoch': 0.0}
{'loss': 3.3835, 'grad_norm': 100.0707778930664, 'learning_rate': 2.967848309975268e-07, 'epoch': 0.0}
{'loss': 4.0025, 'grad_norm': 21.176910400390625, 'learning_rate': 3.1327287716405605e-07, 'epoch': 0.0}
{'loss': 3.7327, 'grad_norm': 88.61567687988281, 'learning_rate': 3.2976092333058533e-07, 'epoch': 0.0}
{'loss': 3.8509, 'grad_norm': 24.08341407775879, 'learning_rate': 3.462489694971146e-07, 'epoch': 0.0}
{'loss': 4.0751, 'grad_norm': 60.564823150634766, 'learning_rate': 3.6273701566364386e-07, 'epoch': 0.0}
{'loss': 3.3107, 'grad_norm': 39.84463119506836, 'learning_rate': 3.7922506183017315e-07, 'epoch': 0.0}
{'loss': 3.0462, 'grad_norm': 40.366729736328125, 'learning_rate': 3.9571310799670243e-07, 'epoch': 0.0}
{'loss': 3.5117, 'grad_norm': 25.876895904541016, 'learning_rate': 4.1220115416323167e-07, 'epoch': 0.0}
